taxon,pl,pl2,L,W,T,biovol,size_class,shape,mobile,teratology,pioneer,adte,pedunc,pad,stalk,colonial,nonColonial,mucous,filament,zigzag,rosette,ribbon,stellate,arbuscular,high_profile,low_profile,motile
Fragilaria construens,0,1,19.5,7,3.230769231,441,3,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria construens var  pumila,0,1,19.5,7,3.230769231,441,3,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria construens var. binodis,0,1,15,5,1.7,174,2,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria construens var. subsalina,0,1,19.5,7,2,191.1,2,box,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria construens var. venter,0,1,7,4.5,10,315,3,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria delicatissima,1,1,65,3,1.251282051,244,2,Omnidia,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Fragilaria elliptica,0,1,19,4.5,2,119.7,2,box,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria exigua,0,1,65,8,2.921153846,1519,5,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria fasciculata,0,1,30,4.5,2.177777778,294,2,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria lapponica,0,1,30,4.5,2.177777778,294,2,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria leptostauron var. dubia,0,1,15,12.5,5.130666667,962,4,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria nanana             ,1,1,47.5,2,1.5,114,2,box,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Fragilaria parasitica,0,1,17.5,4,1.9,133,2,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria pinnata,0,1,19,4,4,159,2,ellcyl,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria pinnata var. lancettula,0,1,19,4,4,159,2,ellcyl,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria pseudoconstruens,0,1,12.5,5,2,100,2,box,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria robusta,0,1,15,5,2.3,174,2,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria sp. 1 (aff. brevistriata),0,1,23,5,1.365217391,157,2,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria subsalina,0,1,19.5,7,2,191,2,box,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Fragilaria ulna,0,1,313.5,5.5,2.739741917,4724,5,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
Fragilaria zellerei var. elliptrica (Total),0,1,22,4.5,4,311,3,ellcyl,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Frustulia rhomboides var. crassinervia,0,0,100,20,2.3,3611,5,ellcyl,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Frustulia rhomboides var. saxonica,0,0,100,20,2.3,3611,5,ellcyl,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Gomphonema acuminatum,0,0,70,11,2.415584416,1860,5,omnidia,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Gomphonema angustatum,0,0,33.5,7.5,4,488,3,Omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Gomphonema angustum,0,0,71,7.5,2.443192488,1301,4,Omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Gomphonema gracile,0,0,60,7.5,2.433333333,1095,4,omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Gomphonema minutum,0,0,22.5,6,2.355555556,318,3,Omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Gomphonema olivaceum,0,0,26.5,8.5,2.264150943,510,3,Omnidia,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Gomphonema parvulum,0,0,23,6,3,331.2,3,box,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Gomphonema pumilum,0,0,25,4.5,2.4,270,2,Omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Gomphonema spp.,0,0,26.5,8.5,2.264150943,510,3,Omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Gomphonema truncatum,0,0,44,12,2.354166667,1243,4,Omnidia,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Mastogloia elliptica,0,0,40,11,2,690.8,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Meridion circulare,0,1,46,6,2.43115942,671,4,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0
Navicula accomoda,0,0,21,6.5,2.336996337,319,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula arvensis,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula bacillum,0,0,60,15,2.365555556,2129,5,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula bryophila,0,0,17.5,3.5,1.779591837,109,2,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula capitata,0,0,20,7,2.314285714,324,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula cf. disjuncta,0,0,11.5,3.5,1.366459627,55,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula cincta,0,0,29,6.5,2.381962865,449,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula clementis,0,0,32.5,11,2.318881119,829,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula cocconeiformis,0,0,26,11,2,449.02,3,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula cryptocephala,0,0,30,6,2.394444444,431,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula cryptotenella,0,0,27,6,2.382716049,386,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula cuspidata,0,0,75,19,4,2850,5,rhp,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula detenta,0,0,11.5,3.5,1.366459627,55,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula difficillimoides,0,0,9,3,1.111111111,30,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula digito-radiata,0,0,27.5,6,2,259.05,2,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula digito-radiata var. rostrata,0,0,30,10,3,706.5,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula digitulus,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula egregia,0,0,7,3,1.5,25,1,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula elginensis,0,0,30,11.5,3.669565217,1266,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula exilis,0,0,30,6,2.394444444,431,3,omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula explanata,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula gerloffii,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula gregaria,0,0,27.5,7.5,2.351515152,485,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula haliphiloides,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula halophila,0,0,73.5,11.5,3,1267.875,4,rhp,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula jaagii,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula jaernefeltii,0,0,14,8.5,2.5,233.5375,2,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula kotschyi,0,0,20.5,6,2,193.11,2,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula kuelbsii,0,0,8.75,3.25,2,44.646875,1,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula lacunolaciniata,0,0,6,3,1,18,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula laevissima,0,0,45,8.5,2,600.525,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula leptostriata,0,0,36.5,55,0.266002491,534,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula libonensis,0,0,32.5,7,3,535.7625,3,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula medioconvexa,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula mediocris,0,0,12.5,2.5,2,62.5,1,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula menisculus,0,0,32.5,10,2.28,741,4,omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula menisculus/salinarum,0,0,30,10,3,707,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula minima,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula minuscula,0,0,11,4.5,2.202020202,109,2,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula minusculoides,,0,15.5,5.5,2,85.25,,,,,,,,,,,,,,,,,,,,,
Navicula modica,0,0,21,7.5,2.5,309,3,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula molestiformis,0,0,16,4,1.859375,119,2,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula phyllepta,0,0,35.5,8,3,668.82,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula placentula,0,0,34,12,2,640.56,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula pseudolanceolata var. densilineolata,0,0,37.5,7.5,2,441.5625,3,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula pseudoscutiformis,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula pupula,0,0,50,12.5,1.8928,1183,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula pupula var hourglass,0,0,50,12.5,1.8928,1183,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula pupula var. mutata,0,0,50,12.5,1.8928,1183,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula radiosa,0,0,80,9.5,2.436842105,1852,5,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula rhyncocephala,0,0,57.5,11.5,3,991.875,4,rhp,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula rhyncocephala,0,0,57.5,11.5,3,992,4,rhp,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula rotunda,0,0,13.5,7,3,222.5475,2,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula salinarum,0,0,13.5,7,3,222.5475,2,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula schassmannii,0,0,8,2.666666667,2,34.13333333,1,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula schmassmannii,0,0,8,2.666666667,2,34.13333333,1,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula schoenfeldii,0,0,21,7.5,2.5,309.09375,3,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula scutiformis,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula seminuloides,0,0,12,3.5,1.5,49,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula seminulum,0,0,12,3.5,1.642857143,69,1,Omnidia,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Navicula soehrensis,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula spp.,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula stroemii,0,0,15.9,4.15,1.6,82.87716,1,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula subminuscula,0,0,12,3.5,1.642857143,69,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula submuralis,0,0,10,5,2.24,112,2,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula subplacentula,0,0,34,12,2,640.56,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula subrhynchocephala,0,0,37.5,7.5,2,441.5625,3,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula subrotundata,0,0,10,5,2,78.5,1,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula subtilissima,0,0,28,5,1.971428571,276,2,Omnidia,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Navicula tantula,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula tenuicephala,0,0,11.5,3.5,2.186335404,88,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula trivialis,0,0,45,10.5,2.321693122,1097,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula tuscula,0,0,59.5,20,4,3736.6,5,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula utermoehlii,0,0,10,5.5,2,86,1,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula veneta,0,0,21.5,5.5,2.359408034,279,2,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula vitabunda,0,0,15,5.5,2,132,2,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Navicula vulpina,0,0,67,11,2.412483039,1778,5,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Neidium affine var. amphirhyncus,0,0,50,11.5,3,1354,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Neidium alpinum,0,0,25,5,2,196,2,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Neidium ampliatum,0,0,70,19,3,3132.15,5,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Neidium dubium,0,0,44,13,2.340909091,1339,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Neidium iridis,0,0,50,11.5,3,1354,4,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia acicularis,0,1,90,3.5,0.917460317,289,2,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia alpina,0,0,10,2.5,1.5,30,1,box,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
Nitzschia amphibia,0,0,28,5,2.385714286,334,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia angustata,0,0,102.5,8,2.458536585,2016,5,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia commutata,0,0,33,5,2.5,324,3,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia dissipata,0,0,49,5.5,2.319109462,625,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia fonticola,0,0,37.5,4,2.293333333,344,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia fossilis,0,0,57.5,4.5,2.5,452.8125,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia frustulum,0,1,32.5,3.5,2.268131868,258,2,Omnidia,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia gracilis,0,1,65,3.5,0.914285714,208,2,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia inconspicua,0,1,12.5,3.5,2.034285714,89,1,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia liebtruthii,0,0,32.5,3.5,2,182,2,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia linearis,0,0,72.5,17,8,7740.1,5,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia microcephala,0,0,13,3,2.384615385,93,1,Omnidia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia palea,0,1,42.5,4,2.3,391,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia paleacea,0,1,31.5,3,2.253968254,213,2,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia perminuta,0,1,26.5,3,1.5,107.325,2,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia perminuta capitate,0,1,26.5,3,1.5,107.325,2,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia sinuata var. delognei,0,0,24.5,6.5,2.549450549,406,3,Omnidia,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Nitzschia solita,0,0,34,5,2,272,2,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia sp. 1,0,0,42.5,4,2.3,391,3,Omnidia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia sp. 2,0,0,42.5,4,2.3,391,3,Omnidia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia sp. D2383,0,0,42.5,4,2.3,391,3,Omnidia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia spp.,0,0,42.5,4,2.3,391,3,Omnidia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nitzschia valdestriata,0,0,9,2.5,2,40.5,1,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Opephora olsenii,0,0,33.5,5,5,670,4,box,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Pinnularia abaujensis,0,0,33,9,4.235690236,1258,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia abaujensis var. linearis,0,0,33,9,4.235690236,1258,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia balfouriana,0,0,33,9,4.235690236,1258,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia biceps var. pusilla,0,0,33,9,4.235690236,1258,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia borealis,0,0,33,9,4.235690236,1258,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia divergentissima,0,0,33,9,4.235690236,1258,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia gibba,0,0,94,10,5,3760,5,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia interrupta,0,0,42,7.5,3.5,992.25,4,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia lagerstedtii,0,0,33,9,4.235690236,1258,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia maior,0,0,33,9,4.235690236,1258,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia microstauron,0,0,55,9,4,1584,5,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia microstauron var. brebissonii,0,0,55,9,4,1584,5,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia nodosa,0,0,33,9,4.235690236,1258,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia obscura,0,0,23,5,2.156521739,248,2,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia rupestris,,0,65,10.5,5.068131868,3459,5,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,
Pinnularia spp.,0,0,33,9,4.235690236,1258,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia stomatophora,0,0,33,9,4.235690236,1258,4,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia subcapitata,0,0,42,5.5,2.428571429,561,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Pinnularia viridis,0,0,110,20,10,17270,5,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Rhopalodia gibba,0,0,161,24,24,185472,5,box,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Rhopalodia sp.,0,0,161,24,24,185472,5,box,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Stauroneis anceps,0,0,49.5,12,3,1069.2,4,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Stauroneis nobilis var. gracilis,0,0,49.5,12,3,1069,,,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Stauroneis phoenicenteron,0,0,215,34.5,5,22252.5,5,box,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Stauroneis smithii,0,0,33.5,6.5,2.397244546,522,3,Omnidia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Stenopterobia curvula,0,0,65,6.5,3,633.75,4,rhp,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Stenopterobia delicatissima,0,0,42.5,4,2.3,391,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Stephanodiscus niagarae,1,1,67,67,,29000,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Surirella linearis,0,0,72.5,17,8,7740.1,5,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Surirella robusta,0,0,275,50,25,269843.75,5,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Surirella spp.,0,0,28,10,3.692857143,1034,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Synedra fasciculata,0,0,99,6.5,4.059052059,2612,5,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Synedra pulchella,0,0,115,7,2.5,1006.25,4,rhp,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Fragilaria ulna,0,1,313.5,5.5,2.739741917,4724,5,Omnidia,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
Tabellaria flocculosa,0,1,68,6.5,4,1060.8,4,box,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Tabellaria flocculosa str. III     ,0,1,68,6.5,4,1060.8,4,box,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Tabellaria flocculosa var. linearis,0,1,68,6.5,4,1060.8,4,box,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Tabellaria flocculosa,0,1,68,6.5,4,1060.8,4,box,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Thalassiosira weissflogii,1,1,18,18,2,509,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Unknown GV,,,,,,,,,,,,,,,,,,,,,,,,,,,