Lake,lat,long,maxZ,avgZ,A,clim,hydro
SS1,66.9849,-50.9261,5.28,2.15,359608,Kelly,warm
SS18,67.03896,-50.5579,11.89,4.44,78470,Kelly,warm
SS1590,67.0106,-50.9825,18.68,4.77,233538,Kelly,warm
SS1341,66.9905,-51.1417,14.3,4.72,74799,Kelly,warm
SS2,66.9959,-50.9637,12.1,6.03,368401,Kelly,warm
SS1381,67.016,-51.1184,20.82,5.79,200027,Kelly,warm
SS85,66.9823,-51.0559,11.06,3.54,233872,Kelly,warm
SS901,67.1315,-50.235,14.88,7.58,119763,IS,cool
SS8,67.0131,-51.0758,10.92,3.96,155340,Kelly,warm
SS906,67.1201,-50.2547,18.18,7.41,92719,IS,cool
SS904,67.1572,-50.2782,17.7,8.19,124947,IS,cool
SS905,67.1626,-50.2846,20.32,7.26,132003,IS,cool
SS16,66.9144,-50.441,12.46,3.74,31546,Kelly,warm
Control,,,9.66,2.68,21923,Kelly,warm
SS56,66.8455,-51.7944,14.28,3.68,236363,Kelly,warm
SS32,66.965,-49.8,20.84,10.14,176013,IS,cool
SS67,66.8505,-51.8719,8.5,2.13,46811,Kelly,warm
SS903,67.1297,-50.1713,28.76,10.91,363624,IS,cool
SS68,66.9474,-51.5777,28.76,11.31,237157,Kelly,warm
SS12,66.9332,-50.395,20.32,8.49,255477,Kelly,warm
SS86,66.9608,-49.8014,12.48,6.22,41945,IS,cool
SS57,66.8495,-51.7597,35.58,11.93,407852,Kelly,warm
SS66,66.8612,-51.9049,28.08,6.65,640168,Kelly,warm
SS21,67.1626,-50.3395,23.87,6.23,239870,IS,cool
SS15,66.9188,-50.43,29.31,7.86,392895,Kelly,warm
SS10,66.9292,-50.4243,29.4,9.87,339519,Kelly,warm
SS909,67.128204,-50.249683,15,10,59377,IS,cool
SS1333,67.001,-51.146,,,,Kelly,warm
SS2N2,,,,,,Kelly,warm
SS4,,,,,,Kelly,warm
SS902,,,,,,IS,cool
SS3,,,,,,Kelly,warm
SS908,,,,,,IS,cool
Anne,,,,,,Kelly,warm
Merritt,,,,,,Kelly,warm
Todd/Jo,,,,,,Kelly,warm
SS1334,,,,,,Kelly,warm
SS1281,,,,,,Kelly,warm